Symbol	RAPdb	MSU	path
CYP76M7	Os02g0569900	LOC_Os02g36110	data/Gene/Abstract/C/CYP76M7
CYP76M8	Os02g0569400	LOC_Os02g36070	data/Gene/Abstract/C/CYP76M8
CYP87A3	Os04g0570000	LOC_Os04g48170	data/Gene/Abstract/C/CYP87A3
CYP90D3	Os05g0200400	LOC_Os05g11130	data/Gene/Abstract/C/CYP90D3
CYP93G1|OsFNSII	Os04g0101400	LOC_Os04g01140	data/Gene/Abstract/C/CYP93G1
CYP93G2	Os06g0102100	LOC_Os06g01250	data/Gene/Abstract/C/CYP93G2
CYP94C2a	Os12g0151400	None	data/Gene/Body/OS/C/OsCYP450
CYP94C2b	Os12g0150200	LOC_Os12g05440	data/Gene/Abstract/C/CYP94C2b
CYP97A4	Os02g0817900	LOC_Os02g57290	data/Gene/Abstract/C/CYP97A4
CYP99A2	Os04g0180400	LOC_Os04g10160	data/Gene/Abstract/C/CYP99A2
CYP99A3	Os04g0178400	LOC_Os04g09920	data/Gene/Abstract/C/CYP99A3
CysP13|CpP13|PG5a|Prol-06	Os05g0329100	LOC_Os05g26386|LOC_Os05g26377	data/Gene/Abstract/C/CysP13~CpP13~PG5a~Prol-06
CysR10|crP10	Os03g0766000	LOC_Os03g55730	data/Gene/Abstract/C/CysR10~crP10
cZOGT1	Os04g0556500	LOC_Os04g46980	data/Gene/Abstract/C/cZOGT1
cZOGT2	Os04g0556600	LOC_Os04g46990	data/Gene/Abstract/C/cZOGT2
cZOGT3	Os04g0565400	LOC_Os04g47770	data/Gene/Abstract/C/cZOGT3
D-h	Os01g0201275	LOC_Os01g10460	data/Gene/Abstract/D/D-h
D1|RGA1	Os05g0333200	LOC_Os05g26890	data/Gene/Abstract/D/D1~RGA1
D10|OsCCD8|OsCCD8b	Os01g0746400	LOC_Os01g54270	data/Gene/Abstract/OS/C/OsCCD8b
D11|CPB1|CYP724B1|GNS4	Os04g0469800	LOC_Os04g39430	data/Gene/Abstract/D/d11~CYP724B1
D14L	Os03g0437600	LOC_Os03g32270	data/Gene/Abstract/D/D14L
d18|OsGA3ox2	Os01g0177400	LOC_Os01g08220	data/Gene/Abstract/D/d18~OsGA3ox2
D2|CYP90D2|SMG11	Os01g0197100	LOC_Os01g10040	data/Gene/Abstract/D/D2~CYP90D2
D27	None	LOC_Os11g37650	data/Gene/Abstract/D/D27
D3	Os06g0154200	LOC_Os06g06050	data/Gene/Abstract/D/D3
D35|OsKOS3|OsKO2	Os06g0570100	LOC_Os06g37364	data/Gene/Abstract/OS/K/OsKOS3~OsKO2
D50	Os02g0477700	LOC_Os02g27620	data/Gene/Abstract/D/D50
D53	Os11g0104300|Os11g0104350	LOC_Os11g01330	data/Gene/Abstract/D/D53
D6|OSH15|Oskn3	Os07g0129700	LOC_Os07g03770	data/Gene/Abstract/D/d6~OSH15~Oskn3
D61|OsBRI1	Os01g0718300	LOC_Os01g52050	data/Gene/Abstract/D/D61~OsBRI1
DAD-1|DAD1	Os04g0397000	LOC_Os04g32550	data/Gene/Abstract/D/DAD-1~DAD1
DAO	Os07g0572100	LOC_Os07g38440	data/Gene/Abstract/D/DAO-diamine-oxidase
DAO	Os04g0475600	LOC_Os04g39980	data/Gene/Abstract/D/DAO
DBS1|OsNACK	Os01g0513900	LOC_Os01g33040	data/Gene/Abstract/D/DBS1~OsNACK
DCA1	Os10g0456800	LOC_Os10g31850	data/Gene/Abstract/D/DCA1
DCM1	Os06g0638000	LOC_Os06g43120	data/Gene/Abstract/D/DCM1
DCW11	Os02g0255100	LOC_Os02g15594	data/Gene/Abstract/D/DCW11
DDF1	Os06g0139000	LOC_Os06g04710	data/Gene/Abstract/D/DDF1
DDX47|TOGR1	Os03g0669000	LOC_Os03g46610	data/Gene/Body/D/DDX47
DEC	Os12g0465700	LOC_Os12g27994	data/Gene/Abstract/D/DEC
DEL1	Os10g0457200	LOC_Os10g31910	data/Gene/Abstract/D/DEL1
DEP1|DN1|qPE9-1|OsDEP1	Os09g0441900	LOC_Os09g26999	data/Gene/Abstract/OS/D/OsDEP1
DEP2|EP2|SRS1	Os07g0616000	LOC_Os07g42410	data/Gene/Abstract/D/DEP2~EP2~SRS1
DEP3	Os06g0677000	LOC_Os06g46350	data/Gene/Abstract/D/DEP3
DEPG1	Os05g0365300	LOC_Os05g30220	data/Gene/Abstract/D/DEPG1
DGL1|OsKTN60	Os01g0683100	LOC_Os01g49000	data/Gene/Abstract/D/DGL1~OsKTN60
DH1	Os02g0820500	LOC_Os02g57490	data/Gene/Abstract/D/DH1
DHAR1|OsDHAR1|OsDHAR	Os05g0116100	LOC_Os05g02530	data/Gene/Abstract/D/DHAR1
